"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burundi","BDI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","28","40","54","27","32","59","54","46","73","74","74","69","69","42","80","79","77","68","70","72","73","75","76","78","87","92","88","84","91","92","93","93","98","94","93","93","90","88","92","",
"Belgium","BEL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","50","58","66","74","82","90","50","75","75","85","67","87","70","78","85","73","76","80","82","82","82","82","82","82","88","92","92","93","95","95","95","96","96","96","96","96","96","96","96","",
"Benin","BEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","26","30","48","79","60","70","67","78","65","60","66","67","69","70","68","66","65","63","61","66","70","66","71","68","70","74","68","65","67","68","70","71","71","",
"Burkina Faso","BFA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","38","40","37","52","66","79","69","60","50","45","43","40","41","24","36","48","63","64","76","78","84","88","94","94","94","92","89","87","82","88","88","88","88","88","88","",
"Bangladesh","BGD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","3","6","13","53","65","68","69","74","78","79","69","72","71","71","74","77","75","76","81","88","83","89","92","93","88","93","88","91","94","97","97","97","97","97","",
"Bulgaria","BGR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","98","98","90","98","98","99","99","99","99","99","99","98","92","88","93","94","95","93","95","96","89","90","92","96","95","96","96","96","96","96","97","95","94","95","93","92","92","94","93","93","",
"Bahrain","BHR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","45","50","54","59","65","78","78","78","78","85","87","88","87","90","93","95","95","94","99","94","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Bahamas, The","BHS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","65","66","63","79","85","87","78","87","86","93","94","88","88","90","92","93","92","86","93","94","94","90","89","85","88","96","90","98","94","90","91","92","92","94","89","90","89","85","",
"Bosnia and Herzegovina","BIH","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","48","57","53","70","86","84","83","80","92","89","84","88","90","85","96","84","93","91","89","94","92","89","83","68","69","68","68","",
"Belarus","BLR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","96","97","93","96","97","98","98","98","99","99","99","99","99","97","99","99","99","99","99","98","99","99","99","98","97","98","98","",
