"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Age dependency ratio (% of working-age population)","SP.POP.DPND","86.3266077750662","84.9896549422679","83.8794061866457","82.7820760799484","81.4245721193612","79.7574276043625","78.3323546682325","76.3588855467444","74.1713160485724","72.1546443122197","70.417171542323","67.9199977400492","65.977036995951","64.231964665467","62.235981558915","59.8318751976389","58.5315435539158","56.6158156911582","54.2619542619543","51.9509476031215","50.0699195924687","48.8424105387338","47.9772272211903","47.4835834340848","47.1782978424345","46.7267309214509","47.5875229703623","47.9991383849505","47.8967379458988","47.6009673518742","47.4998220091606","45.935142947473","44.8811040339703","44.3031171623074","43.9423509983486","43.5382416011437","43.9878181723798","44.2461891659211","44.3431954619875","44.3802819186037","44.4243117807871","44.2527486179266","44.0473121540678","43.7721365165459","43.4017339781292","42.9890643985419","43.1491971549044","43.4913884754412","43.9964768723719","44.5926686049826","45.268918609968","45.1677145864747","44.955904799593","44.6995623877917","44.5475185603053","44.5933398927398","44.6393842843547","45.0394394504632","45.6729975227085","46.3666152659985","47.0322527336326",
"Africa Eastern and Southern","AFE","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.0556944235707","89.0053497264852","89.7513895543992","90.3009300261656","90.6380938942552","90.7695939257646","91.5146924838441","91.924167946845","92.1159530224292","92.2099586692519","92.2599594910467","92.8830383328621","93.352845481347","93.672210107083","93.8201869501866","93.8019391209869","94.265887394545","94.4881340250182","94.5628993645871","94.5762348215951","94.5587396739984","95.0600559758005","95.3773248402588","95.518367835221","95.4804842003884","95.2792830515316","95.6188545854259","95.7082984062134","95.5877656682875","95.2771460715788","94.7819143940404","94.6195771863236","94.2275739701156","93.6657481458953","93.0030388972832","92.2783902879776","92.1984158087188","91.9902217808371","91.675513563919","91.25410493715","90.7320608042742","90.6230190182183","90.352981540608","89.9855238765062","89.5903386195275","89.1947448138967","89.0830079658798","88.8974839077527","88.6320946315105","88.2690564178418","87.8059594247239","87.4428913522516","86.9379857593179","86.3261923807386","85.641618491286","84.90119927989","84.2369211046986","83.4909895425991","82.6728475987594","81.7883470653426","80.8469864586379",
"Afghanistan","AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.617265593364","82.6886781269233","83.2893702677964","83.6040745667416","83.8538402296331","84.1305132205961","85.337606639107","86.3875817780626","87.2881796110479","88.004333820123","88.5257734411341","89.7775513950377","90.711207917884","91.3786718889649","91.8030471642632","91.9457639589236","92.9888574822643","93.858398071556","94.5105001444847","94.8159236718955","94.6074368846258","95.7623085653002","96.7238143522287","97.5152373392122","98.2848562519578","99.2641805972282","100.037992327902","100.318450831989","100.419936268638","100.852511182472","102.186695822177","101.855829678157","101.572891363737","101.497709604882","101.361665767309","100.751043096938","101.779455410549","102.821757539625","103.650785887861","104.275818919765","104.856398128094","104.476104431144","103.671182514941","102.663237607573","101.562370593157","100.349127298896","100.970943099336","101.600182463114","102.078658552986","102.249014354329","102.04582265028","100.224460810072","97.9259472109872","95.3387363003889","92.6491430408227","89.9540923341871","87.9417880743028","86.0007546392816","84.0776554602003","82.1097716001822","80.0882594983951",
"Africa Western and Central","AFW","Age dependency ratio (% of working-age population)","SP.POP.DPND","80.6802284592976","81.561964337242","82.2139126312969","82.6790625415389","82.9692312985743","83.0941431795553","84.1146180252256","84.8213290363281","85.2867570376937","85.5889920050251","85.7758955605703","86.6892527875239","87.3865848074807","87.8959156224637","88.2372305064431","88.4362409244931","89.4090116492094","90.0967276963874","90.5717689970746","90.9082587105831","91.1426211057523","92.1288300721822","92.8712574595289","93.3984793821692","93.7174425642652","93.8289215128972","94.4370293807783","94.729621392736","94.755578095185","94.5618853548957","94.1761418098944","94.2038177787435","93.9693114883822","93.5181166294276","92.8978742175268","92.1532999607002","91.9971664521852","91.6424364169818","91.1493690992209","90.5803312009227","89.977009216276","90.0289174808453","89.9408315888899","89.755861706689","89.5117355087829","89.2304634311034","89.4267775247951","89.4848146010677","89.430977665877","89.2830863289765","89.0511139842046","89.1562065297199","89.1205358800764","88.9483152923189","88.6351472407302","88.1852752021872","87.9024675070119","87.4306842535653","86.809269663301","86.0858062283224","85.2912705165896",
"Angola","AGO","Age dependency ratio (% of working-age population)","SP.POP.DPND","82.2788828433022","84.6240498360848","87.1294571494063","89.2560661558886","90.439369155232","90.5731156766325","90.7484161229805","90.1425499217788","89.6988302834683","90.2655900085991","92.0102538292132","92.4678009105938","93.6519668226985","94.9861606991465","95.6869771477424","95.4880735196094","96.6087055629588","96.3111663526757","95.3541426259508","94.7279199659557","94.8269531534663","95.4826105891868","96.7724210929794","98.2922861361093","99.3978715836823","99.807953974741","100.700050310586","100.932059508646","100.726478582864","100.408470116965","100.118229403213","100.595437051516","100.865329179135","100.946975693107","100.822414356686","100.487402187458","100.629485289928","100.510053363474","100.175170857074","99.678626423384","99.0711860035719","99.0394029999408","98.823023926286","98.4779450050612","98.0734494620758","97.6689962464096","97.8260532348001","97.8666546525832","97.8407854673584","97.7668187802924","97.6377060594152","97.9883072371092","98.1454468316284","98.1304634642927","97.9422051206056","97.5692455393597","97.2945879377601","96.8202169336404","96.1757436089468","95.3940423826417","94.5026723334307",
"Albania","ALB","Age dependency ratio (% of working-age population)","SP.POP.DPND","83.7105255645322","84.9544801149976","86.2413916192897","87.4345087638891","88.2875000518946","88.6474133692663","88.8457520942881","88.4590751152463","87.6459813715429","86.6336558211425","85.5468407200904","84.248010442545","83.0188001886383","81.742303209281","80.2611424271687","78.5456232830945","77.0765854435007","75.336069181666","73.4983402405468","71.7870543782261","70.2996245372043","68.9951261485663","67.8736201852696","66.8903443423436","65.9798910546396","65.1303576292172","64.4252878877965","63.8173468823977","63.2750968270249","62.7043668835424","61.9949092909384","62.7154050638775","63.3119794713222","63.7430128765512","64.0772338551348","64.4052543089666","63.3516964577595","62.4245216436637","61.5821835206863","60.7130191494267","59.7235859880878","58.6864512248242","57.5428762040295","56.3167129847716","55.0733346960794","53.8499697049889","52.6195322393179","51.6043424952196","50.7527371212722","50.0440775642123","49.4779086790466","48.1180582286677","47.033079896868","46.2566558556374","45.7746795115992","45.5504024648604","45.6450337108694","45.6820974885622","45.8100373938934","46.2035217630944","46.9301086542868",
"Andorra","AND","Age dependency ratio (% of working-age population)","SP.POP.DPND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.06112205164","89.4895108163163","90.7824558771063","91.8989500408246","92.7280061443775","93.2012930138842","94.0875327559069","94.4859240488432","94.544615403454","94.4342534394932","94.2266643745616","94.5232110266817","94.5916608051277","94.4822953645836","94.2471390363775","93.9376995597172","93.803986457377","93.5599438081628","93.2248262893934","92.7926339727742","92.2575196188023","91.9656578546825","91.5350620214575","90.9953682327702","90.3831316021733","89.7191273477264","89.4438357883841","89.0285578821035","88.5170660482335","87.9145337739656","87.3320530013089","86.5101699445604","85.8304438692499","84.7042283995619","83.4326220453293","81.8208504077921","80.5449266915477","79.1986694279309","77.8170131435407","76.4227835668322","75.0173343309576","73.6057527561146","72.18209603725","70.7701237028072","69.4003537532049","68.0988262244385","66.9023290826331","65.7843056315348","64.7785025338816","63.9138327800629","63.2016211242295","62.5723284619495","62.0893243343428","61.7307948697144","61.4465810422326","61.1953066707489","61.283403446682","61.2533630506395","61.1645819704013","61.0818013387275","61.0199629831479",
"United Arab Emirates","ARE","Age dependency ratio (% of working-age population)","SP.POP.DPND","92.2990490854991","87.1919627105424","81.9261663286004","76.9672455733439","72.455620932179","68.4085724239461","64.7196309795927","61.7146123071061","59.4191385722018","57.7805399106623","56.827498578928","50.7230237712398","46.3352949759253","43.5981689300322","42.2909272438376","42.1278151051387","40.6433747742941","39.9488048112058","40.1868155284745","41.0044854993069","41.9645418315598","43.3742170064052","44.8248337359644","46.4237270761668","48.1197852098851","49.759055162994","50.0632359150948","49.9027383789469","49.4169126999068","48.6540663142289","47.6337813232997","45.9514052602988","44.2936688788643","42.67560877929","41.1065511513301","39.6408340642738","38.9109332848983","38.1555749437962","37.687948351125","37.4720226775636","37.2417193646378","33.2185908618795","29.8656273740128","27.2289385406309","25.2451754507479","23.8066044443557","20.9846000732732","18.9576894210826","17.6331815329395","16.7554322596324","16.0656793434401","16.5040925242806","16.8013970787123","17.0821035325213","17.4160916505351","17.7818215710616","18.1649008786842","18.3979742867198","18.6077949894403","18.8624852114197","19.1589621083802",
"Argentina","ARG","Age dependency ratio (% of working-age population)","SP.POP.DPND","57.6839489311644","57.7857467587149","57.7469929096399","57.6099291196282","57.437942393297","57.2681961906845","57.2614467599705","57.2320069105607","57.1976531356661","57.178331837136","57.1939825352921","57.4113325478631","57.6594403343152","57.9445198873255","58.2811465181487","58.684441409159","59.4364519194767","60.2856578425599","61.1720161587492","61.9938364488293","62.6908932449981","63.6109100828923","64.1698622183113","64.5131199583787","64.837128449709","65.220096733992","65.330909403467","65.6422890905246","65.9735270954441","66.0765072794286","65.8605992188771","65.8681073090723","65.5467340071596","65.0180040071516","64.4680445214877","63.9796059470617","63.570402231506","63.1546576107345","62.7348820066152","62.2834538796359","61.7882955302331","61.2371692683761","60.7369859608194","60.2508906329684","59.7309668963828","59.1631553006226","58.7495842860931","58.2283811718276","57.6695486746743","57.1799768198785","56.815969153871","56.5417481310706","56.3791879629017","56.292266803898","56.2122404103433","56.103604348639","56.1022705830781","56.0463554436975","55.9544729116194","55.8570334548352","55.7676610064414",
